1, Coastal / Aerosol  0.433 - 0.453 mu      ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
33
Wavenumber (cm-1)   Filter response
    21786.492375       0.000255
    21834.061135       0.000984
    21881.838074       0.002414
    21929.824561       0.005829
    21978.021978       0.014537
    22026.431718       0.036603
    22075.055188       0.092860
    22123.893805       0.226412
    22172.949002       0.471329
    22222.222222       0.745606
    22271.714922       0.905808
    22321.428571       0.972692
    22371.364653       0.982780
    22421.524664       0.996969
    22471.910112       1.000000
    22522.522522       0.993137
    22573.363431       0.993683
    22624.434389       0.986713
    22675.736961       0.989052
    22727.272727       0.983790
    22779.043280       0.977393
    22831.050228       0.958204
    22883.295194       0.908749
    22935.779816       0.765117
    22988.505747       0.517821
    23041.474654       0.254149
    23094.688222       0.085688
    23148.148148       0.024767
    23201.856148       0.008019
    23255.813954       0.003421
    23310.023310       0.001628
    23364.485981       0.000609
    23419.203747       0.000073
