2, Blue   0.450 - 0.515 mu      ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
93
Wavenumber (cm-1)   Filter response
    18939.393939       0.000000
    18975.332068       0.000032
    19011.406844       0.000023
    19047.619048       0.000057
    19083.969466       0.000072
    19120.458891       0.000162
    19157.088123       0.000321
    19193.857965       0.000516
    19230.769231       0.000785
    19267.822736       0.001100
    19305.019305       0.001557
    19342.359768       0.002611
    19379.844961       0.005328
    19417.475728       0.013894
    19455.252918       0.048329
    19493.177388       0.190738
    19531.250000       0.534592
    19569.471624       0.844893
    19607.843137       0.955600
    19646.365422       1.000000
    19685.039370       0.996498
    19723.865878       0.972261
    19762.845850       0.963135
    19801.980198       0.965685
    19841.269841       0.982320
    19880.715706       0.981834
    19920.318725       0.966772
    19960.079840       0.966125
    20000.000000       0.964132
    20040.080160       0.954754
    20080.321285       0.967361
    20120.724346       0.980826
    20161.290323       0.988729
    20202.020202       0.976836
    20242.914980       0.967332
    20283.975659       0.968801
    20325.203252       0.982262
    20366.598778       0.989469
    20408.163265       0.985615
    20449.897751       0.989104
    20491.803279       0.978564
    20533.880904       0.953352
    20576.131687       0.956424
    20618.556701       0.962420
    20661.157025       0.955545
    20703.933747       0.954248
    20746.887967       0.931813
    20790.020790       0.931726
    20833.333333       0.918822
    20876.826722       0.910385
    20920.502092       0.912538
    20964.360587       0.890253
    21008.403361       0.868497
    21052.631579       0.865864
    21097.046414       0.844202
    21141.649049       0.828339
    21186.440678       0.840828
    21231.422505       0.848533
    21276.595745       0.861157
    21321.961620       0.887680
    21367.521368       0.891913
    21413.276231       0.886569
    21459.227468       0.879688
    21505.376344       0.874721
    21551.724138       0.881011
    21598.272138       0.877453
    21645.021645       0.883542
    21691.973970       0.889667
    21739.130435       0.897977
    21786.492375       0.899475
    21834.061135       0.909880
    21881.838074       0.910928
    21929.824561       0.903034
    21978.021978       0.894222
    22026.431718       0.857510
    22075.055188       0.723971
    22123.893805       0.493542
    22172.949002       0.271370
    22222.222222       0.130876
    22271.714922       0.058606
    22321.428571       0.027170
    22371.364653       0.013212
    22421.524664       0.006869
    22471.910112       0.003712
    22522.522522       0.002070
    22573.363431       0.001197
    22624.434389       0.000756
    22675.736961       0.000455
    22727.272727       0.000349
    22779.043280       0.000241
    22831.050228       0.000117
    22883.295194       0.000061
    22935.779816       0.000010
