3, Green   0.525 - 0.600 mu      ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
99
Wavenumber (cm-1)   Filter response
    16393.442623       0.000000
    16420.361248       0.000000
    16447.368421       0.000000
    16474.464580       0.000000
    16501.650165       0.000000
    16528.925620       0.000000
    16556.291391       0.000000
    16583.747927       0.000000
    16611.295681       0.000000
    16638.935108       0.000000
    16666.666667       0.000085
    16694.490818       0.000394
    16722.408027       0.001046
    16750.418761       0.002574
    16778.523490       0.005944
    16806.722689       0.014077
    16835.016835       0.035393
    16863.406408       0.087833
    16891.891892       0.190467
    16920.473773       0.345364
    16949.152542       0.525304
    16977.928693       0.684974
    17006.802721       0.809275
    17035.775128       0.904478
    17064.846416       0.946407
    17094.017094       0.974207
    17123.287671       0.986657
    17152.658662       0.983655
    17182.130584       0.968886
    17211.703959       0.963811
    17241.379310       0.979598
    17271.157168       0.982956
    17301.038062       0.967838
    17331.022530       0.969181
    17361.111111       0.968827
    17391.304348       0.979973
    17421.602787       0.974392
    17452.006981       0.975818
    17482.517482       0.978208
    17513.134851       0.979406
    17543.859649       0.967229
    17574.692443       0.974522
    17605.633803       0.980960
    17636.684303       0.983397
    17667.844523       0.978607
    17699.115044       0.970039
    17730.496454       0.958314
    17761.989343       0.953399
    17793.594306       0.966447
    17825.311943       0.977656
    17857.142857       0.966534
    17889.087656       0.959038
    17921.146953       0.947871
    17953.321364       0.946245
    17985.611511       0.957314
    18018.018018       0.965081
    18050.541516       0.977765
    18083.182640       0.983832
    18115.942029       0.982642
    18148.820327       0.992264
    18181.818182       1.000000
    18214.936248       0.990784
    18248.175182       0.980884
    18281.535649       0.977001
    18315.018315       0.977533
    18348.623853       0.978270
    18382.352941       0.961397
    18416.206261       0.952489
    18450.184502       0.969873
    18484.288355       0.964902
    18518.518519       0.961328
    18552.875696       0.959215
    18587.360595       0.954163
    18621.973929       0.954627
    18656.716418       0.927396
    18691.588785       0.865225
    18726.591760       0.741205
    18761.726079       0.545856
    18796.992481       0.353885
    18832.391714       0.211680
    18867.924528       0.123444
    18903.591682       0.070551
    18939.393939       0.041451
    18975.332068       0.025513
    19011.406844       0.016247
    19047.619048       0.010441
    19083.969466       0.007024
    19120.458891       0.004880
    19157.088123       0.003446
    19193.857965       0.002515
    19230.769231       0.001816
    19267.822736       0.001332
    19305.019305       0.000935
    19342.359768       0.000648
    19379.844961       0.000362
    19417.475728       0.000247
    19455.252918       0.000110
    19493.177388       0.000016
    19531.250000       0.000000
