4, Red    0.630 - 0.680 mu     ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
67
Wavenumber (cm-1)   Filter response
    14471.780029       0.000000
    14492.753623       0.000000
    14513.788099       0.000000
    14534.883721       0.000000
    14556.040757       0.000000
    14577.259475       0.000000
    14598.540146       0.000000
    14619.883041       0.000000
    14641.288433       0.000000
    14662.756598       0.000117
    14684.287812       0.000554
    14705.882353       0.001402
    14727.540501       0.003205
    14749.262537       0.007333
    14771.048744       0.017702
    14792.899408       0.046033
    14814.814815       0.123946
    14836.795252       0.316350
    14858.841010       0.609359
    14880.952381       0.848855
    14903.129657       0.949928
    14925.373134       0.966928
    14947.683109       0.967180
    14970.059880       0.970778
    14992.503748       0.962154
    15015.015015       0.964002
    15037.593985       0.980678
    15060.240964       0.992142
    15082.956259       0.996804
    15105.740181       0.981080
    15128.593041       0.972980
    15151.515151       0.976960
    15174.506828       0.981568
    15197.568389       0.984615
    15220.700152       0.992388
    15243.902439       1.000000
    15267.175573       0.981688
    15290.519878       0.956628
    15313.935681       0.953337
    15337.423313       0.955548
    15360.983103       0.955641
    15384.615385       0.959441
    15408.320493       0.973636
    15432.098765       0.982911
    15455.950541       0.983434
    15479.876161       0.983613
    15503.875969       0.984173
    15527.950311       0.975075
    15552.099533       0.962705
    15576.323987       0.951831
    15600.624025       0.947418
    15625.000000       0.950823
    15649.452269       0.947949
    15673.981191       0.905473
    15698.587127       0.764443
    15723.270440       0.526812
    15748.031496       0.299778
    15772.870662       0.148518
    15797.788310       0.066861
    15822.784810       0.030432
    15847.860539       0.014515
    15873.015873       0.007197
    15898.251192       0.003648
    15923.566879       0.001850
    15948.963317       0.000895
    15974.440895       0.000270
    16000.000000       0.000000
