5, Near Infrared  0.845 - 0.885 mu     ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
72
Wavenumber (cm-1)   Filter response
    11111.111111       0.000000
    11123.470523       0.000000
    11135.857461       0.000000
    11148.272018       0.000000
    11160.714286       0.000044
    11173.184358       0.000116
    11185.682327       0.000241
    11198.208287       0.000423
    11210.762332       0.000743
    11223.344557       0.001192
    11235.955056       0.001870
    11248.593926       0.002944
    11261.261261       0.004702
    11273.957159       0.007601
    11286.681716       0.012440
    11299.435028       0.020720
    11312.217195       0.034532
    11325.028313       0.058265
    11337.868481       0.100343
    11350.737798       0.174619
    11363.636364       0.288847
    11376.564278       0.448364
    11389.521640       0.635320
    11402.508552       0.788733
    11415.525114       0.891066
    11428.571429       0.936610
    11441.647597       0.969821
    11454.753723       0.966460
    11467.889908       0.956079
    11481.056257       0.950632
    11494.252874       0.940094
    11507.479862       0.948450
    11520.737327       0.951499
    11534.025375       0.953162
    11547.344111       0.947044
    11560.693642       0.951209
    11574.074074       0.957357
    11587.485516       0.972043
    11600.928074       0.975935
    11614.401858       0.980733
    11627.906977       0.989777
    11641.443539       1.000000
    11655.011655       0.996120
    11668.611435       0.980606
    11682.242991       0.973133
    11695.906433       0.986833
    11709.601873       0.960215
    11723.329426       0.890315
    11737.089202       0.745037
    11750.881316       0.582623
    11764.705882       0.403526
    11778.563015       0.249733
    11792.452830       0.145365
    11806.375443       0.084363
    11820.330969       0.048191
    11834.319527       0.028332
    11848.341232       0.017346
    11862.396204       0.010900
    11876.484561       0.007059
    11890.606421       0.004744
    11904.761905       0.003160
    11918.951132       0.002107
    11933.174224       0.001445
    11947.431302       0.000986
    11961.722488       0.000719
    11976.047904       0.000495
    11990.407674       0.000314
    12004.801921       0.000239
    12019.230769       0.000100
    12033.694344       0.000050
    12048.192771       0.000011
    12062.726176       0.000000
