6, Short Wavelength Infrared  1.560 - 1.660 mu    ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
183
Wavenumber (cm-1)   Filter response
     5892.751915       0.000000
     5896.226415       0.000040
     5899.705015       0.000112
     5903.187721       0.000206
     5906.674542       0.000301
     5910.165485       0.000409
     5913.660556       0.000517
     5917.159763       0.000677
     5920.663114       0.000837
     5924.170616       0.001040
     5927.682276       0.001244
     5931.198102       0.001512
     5934.718101       0.001781
     5938.242280       0.002160
     5941.770648       0.002541
     5945.303210       0.003055
     5948.839976       0.003576
     5952.380952       0.004257
     5955.926147       0.004940
     5959.475566       0.005910
     5963.029219       0.006882
     5966.587112       0.008227
     5970.149254       0.009587
     5973.715651       0.011483
     5977.286312       0.013394
     5980.861244       0.016045
     5984.440455       0.018724
     5988.023952       0.022504
     5991.611744       0.026350
     5995.203837       0.031821
     5998.800240       0.037310
     6002.400960       0.045028
     6006.006006       0.052752
     6009.615385       0.063790
     6013.229104       0.074941
     6016.847172       0.090735
     6020.469597       0.106664
     6024.096386       0.128463
     6027.727547       0.150540
     6031.363088       0.180823
     6035.003018       0.211153
     6038.647343       0.251309
     6042.296073       0.291752
     6045.949214       0.342750
     6049.606776       0.394030
     6053.268765       0.451966
     6056.935191       0.509946
     6060.606061       0.573232
     6064.281383       0.636542
     6067.961165       0.694313
     6071.645416       0.751893
     6075.334143       0.796545
     6079.027356       0.840967
     6082.725061       0.879424
     6086.427267       0.917239
     6090.133983       0.936199
     6093.845216       0.955120
     6097.560976       0.967125
     6101.281269       0.978989
     6105.006105       0.986217
     6108.735492       0.993439
     6112.469438       0.996590
     6116.207951       0.999642
     6119.951040       0.999848
     6123.698714       1.000000
     6127.450980       0.998021
     6131.207848       0.995869
     6134.969325       0.988609
     6138.735421       0.981372
     6142.506143       0.981285
     6146.281500       0.981258
     6150.061501       0.979100
     6153.846154       0.976906
     6157.635468       0.973713
     6161.429452       0.970589
     6165.228113       0.969314
     6169.031462       0.967943
     6172.839506       0.964703
     6176.652254       0.961486
     6180.469716       0.960813
     6184.291899       0.960175
     6188.118812       0.960857
     6191.950464       0.961470
     6195.786865       0.959835
     6199.628022       0.958335
     6203.473945       0.960048
     6207.324643       0.961545
     6211.180124       0.959047
     6215.040398       0.956494
     6218.905473       0.953047
     6222.775358       0.949670
     6226.650062       0.951303
     6230.529595       0.952859
     6234.413965       0.950194
     6238.303182       0.947589
     6242.197253       0.947006
     6246.096190       0.946432
     6250.000000       0.946175
     6253.908693       0.945872
     6257.822278       0.944351
     6261.740764       0.942525
     6265.664160       0.934552
     6269.592476       0.926605
     6273.525721       0.924648
     6277.463905       0.922756
     6281.407035       0.922061
     6285.355123       0.921383
     6289.308176       0.922828
     6293.266205       0.924259
     6297.229219       0.923953
     6301.197227       0.923683
     6305.170240       0.925059
     6309.148265       0.926413
     6313.131313       0.926860
     6317.119394       0.927163
     6321.112516       0.922953
     6325.110689       0.918685
     6329.113924       0.913009
     6333.122229       0.907252
     6337.135615       0.899817
     6341.154090       0.891830
     6345.177665       0.873370
     6349.206349       0.854065
     6353.240152       0.821155
     6357.279085       0.788248
     6361.323155       0.754770
     6365.372374       0.721282
     6369.426752       0.676683
     6373.486297       0.631645
     6377.551020       0.578787
     6381.620932       0.525681
     6385.696041       0.473560
     6389.776358       0.421470
     6393.861893       0.375648
     6397.952655       0.329939
     6402.048656       0.291359
     6406.149904       0.252894
     6410.256410       0.220261
     6414.368185       0.187803
     6418.485237       0.163127
     6422.607579       0.138642
     6426.735219       0.120150
     6430.868167       0.101893
     6435.006435       0.089024
     6439.150032       0.076166
     6443.298969       0.065732
     6447.453256       0.055352
     6451.612903       0.047864
     6455.777921       0.040434
     6459.948320       0.035171
     6464.124111       0.029952
     6468.305304       0.025890
     6472.491909       0.021831
     6476.683938       0.019029
     6480.881400       0.016248
     6485.084306       0.014303
     6489.292667       0.012372
     6493.506494       0.010989
     6497.725796       0.009606
     6501.950585       0.008459
     6506.180872       0.007319
     6510.416667       0.006421
     6514.657980       0.005528
     6518.904824       0.004898
     6523.157208       0.004271
     6527.415144       0.003772
     6531.678641       0.003277
     6535.947712       0.002881
     6540.222368       0.002488
     6544.502618       0.002172
     6548.788474       0.001859
     6553.079948       0.001613
     6557.377049       0.001369
     6561.679790       0.001150
     6565.988181       0.000932
     6570.302234       0.000758
     6574.621959       0.000585
     6578.947368       0.000466
     6583.278473       0.000348
     6587.615283       0.000249
     6591.957811       0.000151
     6596.306069       0.000067
     6600.660066       0.000000
