pred,ture,toa
0.060227536,0.078,0.11891877
0.05795307,0.0453,0.10639785
0.05795307,0.0693,0.10639785
0.06518352,0.042,0.10897393
0.04352094,0.0454,0.100646615
0.035426095,0.0346,0.09687237
0.05259099,0.0637,0.105619036
0.075547986,0.0649,0.11484498
0.043474637,0.0556,0.09992771
0.052546263,0.0692,0.103582144
0.052546263,0.0675,0.10507986
0.052535094,0.0675,0.105619036
0.024710951,0.0721,0.11598324
0.043428466,0.0575,0.10208443
0.043419246,0.0447,0.10118579
0.03534338,0.0447,0.09651291
0.035335883,0.0429,0.098669626
0.035335883,0.0391,0.098669626
0.02742624,0.0422,0.091840036
0.02742043,0.0441,0.09321794
0.029512314,0.0557,0.103582144
0.035291005,0.0528,0.09807054
0.04332735,0.0573,0.09908899
0.04331819,0.0696,0.098789446
0.057338458,0.0732,0.10777575
0.057326343,0.0718,0.10699694
0.05233519,0.0687,0.10549922
0.029468678,0.0666,0.10484023
0.04326333,0.0615,0.10142543
0.043254204,0.0615,0.09932862
0.03521655,0.0474,0.093876936
0.010942159,0.0409,0.087706335
0.035194296,0.0645,0.09513502
0.035194296,0.0789,0.09513502
0.029419018,0.066,0.10346232
0.03517208,0.0635,0.09842999
0.0121928165,0.0759,0.106637485
0.0121928165,0.0859,0.106637485
0.05409516,0.0859,0.11478507
0.054083798,0.0998,0.11508461
0.057121433,0.0752,0.106637485
0.0521592,0.0902,0.10316278
0.057097454,0.0883,0.10627803
0.057085477,0.0858,0.10795548
0.043674048,0.0966,0.11143018
0.052104533,0.0922,0.10513977
0.00032397322,0.0753,0.09998762
0.003595735,0.0705,0.10346232
0.0035949822,0.0792,0.10340241
0.04305476,0.0713,0.101665065
0.035046894,0.0698,0.096752554
0.00032363436,0.0855,0.09950835
0.056954157,0.0811,0.10819511
0.056942258,0.0874,0.10801539
0.05199565,0.0871,0.10490014
0.056918483,0.0848,0.10645776
0.056906603,0.0795,0.10627803
0.042964917,0.0787,0.101485334
0.02026571,0.099,0.10112589
0.06431021,0.098,0.11101082
0.05685916,0.0802,0.108494654
0.013019918,0.0884,0.09741154
0.03604557,0.0821,0.10597849
0.0130145,0.0715,0.097112
0.09759127,0.0649,0.09759127
0.013009087,0.0798,0.09423639
0.051844247,0.0915,0.10322269
0.074109785,0.0915,0.11208918
0.0740944,0.0771,0.111669816
0.06416326,0.0857,0.11101082
0.074063644,0.0859,0.113586895
0.042831097,0.0742,0.10202452
0.020198401,0.0729,0.101665065
0.056670446,0.0783,0.1074163
0.06409677,0.0901,0.11125045
0.07433678,0.0952,0.115444064
0.079541855,0.0986,0.118679136
0.079525396,0.1031,0.11987731
0.07391041,0.0892,0.113586895
0.07391041,0.0774,0.113586895
0.04274251,0.081,0.100766435
0.04272485,0.0779,0.10112589
0.05655336,0.0865,0.10795548
0.05655336,0.0896,0.10795548
0.05653002,0.0777,0.107655935
0.05161936,0.0815,0.10322269
0.042680793,0.0787,0.101724975
0.07412215,0.0974,0.114545435
0.063885234,0.0938,0.11137027
0.053093415,0.0859,0.112688266
0.073712476,0.0837,0.11310763
0.056436926,0.0841,0.108494654
0.073667005,0.0893,0.111669816
0.056413718,0.0868,0.107536115
0.06379329,0.0845,0.1108311
0.07363673,0.0866,0.11328735
0.043142747,0.0841,0.11005228
0.043142747,0.0901,0.109453194
0.042558085,0.0638,0.100646615
0.026905276,0.0604,0.092978306
0.034635782,0.069,0.09759127
0.042531915,0.0778,0.1019047
0.028952317,0.0648,0.10226415
0.034621593,0.0475,0.0950152
0.010755164,0.0441,0.08423163
0.026866728,0.049,0.08806579
0.026866728,0.0612,0.08806579
0.026855743,0.0491,0.092798576
0.026850255,0.0491,0.09309812
0.02684477,0.0463,0.09112113
0.026833808,0.0561,0.0922594
0.026833808,0.0524,0.09016259
0.026822858,0.0488,0.08842524
0.026817389,0.0488,0.091780126
0.0107310265,0.0386,0.08033757
0.0026620685,0.0365,0.07632368
0.014291247,0.0442,0.08243437
0.014288337,0.0455,0.08141592
0.006223584,0.0417,0.07746195
0.014279615,0.0451,0.08111638
0.0062210513,0.0602,0.07943894
0.038033813,0.0839,0.098729536
0.026613863,0.0876,0.10100607
0.055591483,0.0878,0.10274342
0.05997428,0.0956,0.10645776
0.06401611,0.0628,0.11670215
0.014259323,0.0628,0.08740679
0.02658147,0.0702,0.09944844
0.014250649,0.0534,0.08213483
0.006207174,0.0503,0.076683134
0.014244875,0.0459,0.080038026
0.014241991,0.0503,0.081955105
0.014239107,0.054,0.083992
0.0062008942,0.0406,0.07278907
0.0062008942,0.0552,0.07698268
0.006198387,0.0491,0.07877994
0.014224716,0.053,0.08021775
0.006195883,0.0513,0.07632368
0.0061946316,0.0927,0.078839846
0.035330966,0.0551,0.10382178
0.014213233,0.0502,0.08021775
0.0142075,0.053,0.08021775
0.0142075,0.0718,0.081775375
0.014201774,0.0719,0.08560953
0.03017548,0.0761,0.0881257
0.0061846473,0.0536,0.07949884
0.014196054,0.0707,0.08153574
0.014190341,0.0672,0.087646425
0.006294309,0.0672,0.08716716
0.0141817825,0.0714,0.087646425
0.0062905145,0.0642,0.08387218
0.006289251,0.0731,0.08435145
0.014176086,0.0882,0.08752661
0.017580524,0.0897,0.09585392
0.017576996,0.08,0.094655745
0.0061709913,0.023,0.067097746
0.03009069,0.1564,0.09034232
0.093544506,0.1439,0.13030142
0.055155974,0.1165,0.10232406
0.07685883,0.0559,0.11526434
0.037697762,0.0817,0.09519492
0.01414486,0.1063,0.08758652
0.03004854,0.0782,0.088724785
0.030042531,0.0822,0.08818561
0.010305043,0.0753,0.09154049
0.0062703816,0.0717,0.087706335
0.0062691295,0.0739,0.08644825
0.014125089,0.0712,0.08530999
0.0027020348,0.0721,0.088664874
0.010292706,0.0759,0.0895036
0.0062628775,0.073,0.08716716
0.029982634,0.0791,0.08914415
0.010286553,0.079,0.08998287
0.029976662,0.0816,0.08848515
0.029970692,0.0743,0.09094141
0.010278365,0.0739,0.0881257
0.014096976,0.0759,0.087826155
0.014094173,0.0761,0.08752661
0.0140913725,0.0774,0.08758652
0.0062504257,0.0737,0.087706335
0.029923065,0.0736,0.08902433
0.010266116,0.0739,0.08908424
0.02991119,0.0763,0.09004278
0.037502997,0.0823,0.09699219
0.029899329,0.0706,0.092978306
0.03748813,0.0778,0.09495529
0.034958493,0.0951,0.1039416
0.03747328,0.0857,0.094655745
0.03746586,0.1017,0.095734105
0.06633638,0.1126,0.11041173
0.057958618,0.1114,0.11286799
0.07595444,0.1096,0.11196936
0.054751385,0.0733,0.10370196
0.006118397,0.0843,0.07907949
0.03741404,0.0778,0.09723182
0.029828433,0.0605,0.09351748
0.01403567,0.0886,0.08722707
0.037384517,0.0875,0.0970521
0.04596276,0.0898,0.099807896
0.03737715,0.0878,0.09789082
0.045944646,0.0914,0.10004753
0.058939885,0.1058,0.10885411
0.05892828,0.1025,0.10825502
0.058916684,0.0982,0.107476205
0.058905095,0.1009,0.107476205
0.054578964,0.0951,0.10519968
0.029752154,0.0736,0.09219949
0.037310995,0.088,0.09783091
0.0660493,0.1074,0.1101721
0.0577193,0.1069,0.113706715
0.05806214,0.1126,0.11592334
0.06278889,0.0999,0.11778051
0.075950325,0.1059,0.1164026
0.062764265,0.1052,0.11766069
0.062751964,0.1061,0.1177206
0.062727384,0.1048,0.11802014
0.062727384,0.0964,0.11813996
0.034718413,0.0871,0.10543931
0.06360479,0.1123,0.11993722
0.0762247,0.1178,0.12317229
0.076194905,0.1142,0.12215384
0.06356749,0.0588,0.12011694
0.029653223,0.0502,0.09207967
0.029641643,0.0502,0.08986305
0.040778268,0.0839,0.105858676
0.05751635,0.1031,0.113586895
0.06349308,0.1157,0.12023676
0.06577848,0.1042,0.11125045
0.07533077,0.0981,0.113646805
0.017287511,0.0764,0.09860972
0.054280836,0.0849,0.10292315
0.045630883,0.0867,0.10136552
0.017274056,0.0811,0.0970521
0.010147794,0.0677,0.093757115
0.017267339,0.0785,0.097711086
0.01014385,0.0659,0.09040223
0.010141879,0.0746,0.093697205
0.0070138224,0.0714,0.098669626
0.01725058,0.0871,0.09687237
0.025925424,0.0828,0.098849356
0.029532274,0.0717,0.09028241
0.02952655,0.0664,0.09094141
0.0370209,0.0708,0.09441611
0.02951511,0.0646,0.09327785
0.036999397,0.0663,0.094655745
0.010120274,0.0718,0.092738666
0.029497972,0.0615,0.087886065
0.013880227,0.0629,0.08704734
0.017217198,0.0766,0.096453
0.017210543,0.075,0.09519492
0.017207218,0.0681,0.095734105
0.045436706,0.0787,0.099688075
0.045419168,0.0837,0.10010744
0.05716044,0.0831,0.112508535
0.04764896,0.1025,0.11149009
0.05398723,0.087,0.10286324
0.034423042,0.0888,0.10430105
0.05396643,0.0892,0.10549922
0.040479,0.091,0.10693703
0.040479,0.0974,0.10693703
0.047584746,0.0967,0.10897393
0.047575593,0.0932,0.10903383
0.040447857,0.1023,0.10777575
0.04754816,0.0955,0.11023201
0.06524607,0.1012,0.11143018
0.057017613,0.1018,0.11334726
0.047520775,0.1024,0.11149009
0.047511656,0.1003,0.110591464
0.047502544,0.0918,0.109513104
0.04749343,0.0874,0.11011219
0.06515851,0.0824,0.109632924
0.047466137,0.0866,0.10993247
0.07495611,0.0909,0.114545435
0.047457047,0.0903,0.10921356
0.04034711,0.0968,0.10735639
0.034650084,0.0995,0.111669816
0.04742074,0.0981,0.11107073
0.05686492,0.1039,0.11310763
0.057202984,0.1005,0.11472516
0.05719206,0.1039,0.11484498
0.05683235,0.1028,0.11406616
0.05717023,0.108,0.11436571
0.04735739,0.1036,0.11047164
0.040262412,0.0924,0.10633794
0.014272085,0.0739,0.102683514
0.036674034,0.0762,0.0970521
0.036674034,0.0663,0.0970521
0.03666705,0.0686,0.097711086
0.045072388,0.0721,0.10028716
0.034180075,0.0741,0.1032826
0.047276292,0.0919,0.1108311
0.056702603,0.0967,0.11400626
0.062595084,0.1138,0.11903859
0.06168366,0.1118,0.11718142
0.061671946,0.1115,0.11670215
0.081677504,0.1135,0.12616773
0.08164652,0.1265,0.1267069
0.090706944,0.1184,0.1301217
0.07494394,0.1187,0.122453384
0.0947303,0.1107,0.1328775
0.06374455,0.1146,0.1280848
0.08419182,0.1001,0.1280848
0.07163428,0.1028,0.12089576
0.056552287,0.0924,0.111729726
0.025565498,0.0834,0.10196461
0.011124296,0.0826,0.10112589
0.034063622,0.0829,0.10382178
0.014204559,0.0747,0.10310287
0.025546182,0.0769,0.101784885
0.0533729,0.0742,0.105678946
0.034031473,0.0831,0.10406141
0.09447997,0.1161,0.13437521
0.08704748,0.1126,0.13994673
0.1060766,0.1276,0.13665174
0.05751568,0.0951,0.1080753
0.053302515,0.0816,0.102683514
0.053292483,0.0975,0.10519968
0.053272434,0.0944,0.102623604
0.057472397,0.0979,0.10723657
0.05746159,0.0946,0.108494654
0.06448195,0.0952,0.10915365
0.057429202,0.096,0.10891402
0.06444562,0.0954,0.11119055
0.06443352,0.0995,0.11089101
0.05739687,0.0966,0.107715845
0.06440935,0.0962,0.11047164
0.064397275,0.0969,0.10999237
0.064385206,0.096,0.109513104
0.06436108,0.0973,0.11011219
0.064349025,0.0967,0.11065137
0.0737081,0.1014,0.111729726
0.064336985,0.0979,0.11035182
0.06431291,0.0979,0.10981265
0.07365295,0.0988,0.11244863
0.056536783,0.1007,0.11418598
0.06426485,0.1003,0.11089101
0.06425285,0.0965,0.11101082
0.06425285,0.097,0.11071128
0.07357047,0.1015,0.111729726
0.057214633,0.0911,0.107476205
0.057203963,0.093,0.10711676
0.07352932,0.0935,0.112508535
0.057182644,0.0994,0.107536115
0.057171993,0.0903,0.10723657
0.06415708,0.0956,0.10969283
0.057150707,0.0925,0.108434744
0.064121276,0.094,0.10933338
0.046710808,0.0911,0.10987256
0.06409744,0.0968,0.10921356
0.07835002,0.1058,0.1170616
0.07922426,0.0856,0.118499406
0.06406173,0.0851,0.11023201
0.025312925,0.0903,0.1019047
0.057055205,0.0923,0.10837484
0.064014204,0.0924,0.10939328
0.057034045,0.0958,0.10891402
0.05285632,0.0919,0.105678946
0.05701291,0.0946,0.10705685
0.06396678,0.0971,0.10999237
0.06395494,0.0968,0.11029191
0.073229596,0.102,0.11340717
0.033664804,0.0907,0.10507986
0.033664804,0.0859,0.10531949
0.056939106,0.0951,0.10591858
0.063884035,0.0983,0.10939328
0.06387224,0.0885,0.10987256
0.07314846,0.103,0.11220899
0.078074835,0.1166,0.11831968
0.06072143,0.109,0.11724132
0.060710233,0.1143,0.11742105
0.073804066,0.1172,0.1225732
0.07887337,0.1089,0.119577765
0.07885885,0.1008,0.1184395
0.060654342,0.1076,0.11831968
0.061527546,0.1079,0.118679136
0.060632028,0.1073,0.117540866
0.07300039,0.1048,0.11232881
0.07298697,0.0953,0.113646805
0.07296015,0.0951,0.11316753
0.07294676,0.0965,0.112508535
0.06368436,0.1003,0.109632924
0.046392635,0.099,0.10897393
0.033522524,0.0945,0.10501995
0.07289325,0.0844,0.11184955
0.077788174,0.0982,0.11712151
0.072853185,0.1072,0.11238872
0.06049864,0.1152,0.1177206
0.061369658,0.1134,0.11891877
0.077716984,0.1079,0.11670215
0.07770277,0.1034,0.11682197
0.06132476,0.1066,0.11909849
0.07767437,0.1074,0.11718142
0.072759956,0.1039,0.11310763
0.072746664,0.1034,0.11184955
0.073074006,0.114,0.11472516
0.07306066,0.1066,0.115444064
0.07303401,0.109,0.115503974
0.060355093,0.1113,0.11694178
0.07757518,0.1064,0.11688188
0.07299408,0.1031,0.115324244
0.072640605,0.105,0.1129279
0.0729675,0.102,0.1149648
0.06339399,0.0985,0.11071128
0.06337093,0.0928,0.10927347
0.056460913,0.0907,0.10777575
0.056450646,0.0901,0.107655935
0.05643013,0.0904,0.108614475
0.063324876,0.0966,0.10903383
0.056409635,0.0975,0.10825502
0.056399398,0.0971,0.106577575
0.056389164,0.1017,0.1081352
0.06327892,0.0893,0.11089101
0.06326745,0.0886,0.110591464
0.07245607,0.0996,0.113467075
0.06014707,0.1064,0.11682197
0.06101315,0.1105,0.1191584
0.04965212,0.1104,0.12167457
0.059631806,0.0821,0.12431055
0.059610233,0.081,0.12389119
0.06991908,0.1085,0.12179439
0.060081813,0.1036,0.11748096
0.055527885,0.1053,0.115444064
0.055527885,0.1093,0.1149648
0.05551786,0.0823,0.11604315
0.05549782,0.0833,0.11424589
0.05548781,0.0996,0.11472516
0.05547781,0.0961,0.11586343
0.05547781,0.0932,0.11616297
0.059984315,0.0791,0.11813996
0.060848113,0.114,0.11933813
0.060837157,0.114,0.11909849
0.07970084,0.1189,0.12425064
0.056135084,0.0988,0.10693703
0.052023496,0.0938,0.10436095
0.056114905,0.0947,0.10645776
0.06297126,0.0981,0.10927347
0.06295995,0.1018,0.11023201
0.06294864,0.097,0.109453194
0.06293734,0.1018,0.10993247
0.045848638,0.1021,0.1101721
0.056054488,0.097,0.10819511
0.056044437,0.0904,0.107536115
0.06288093,0.0967,0.10909374
0.0389522,0.0926,0.108614475
0.056004286,0.0949,0.10783566
0.04579116,0.0903,0.11005228
0.03893129,0.0919,0.1074163
0.05597423,0.089,0.106697395
0.05596422,0.0901,0.10597849
0.03890346,0.0899,0.10705685
0.03889651,0.0888,0.10627803
0.03889651,0.0921,0.1080753
0.05182816,0.0866,0.10549922
0.03304686,0.0888,0.10454068
0.03304686,0.0898,0.10406141
0.0517912,0.09,0.10424114
0.05587438,0.0875,0.1060384
0.055864427,0.0841,0.10717666
0.03301742,0.0855,0.10501995
0.03882722,0.0854,0.10621812
0.05174511,0.0852,0.10496004
0.051735904,0.0855,0.10543931
0.055804804,0.086,0.1060384
0.055794884,0.0864,0.10891402
0.05578497,0.0864,0.1060384
0.038785826,0.0814,0.108674385
0.05576516,0.0833,0.1060384
0.038765177,0.092,0.10597849
0.0387583,0.0872,0.1081352
0.0387583,0.0869,0.10837484
0.03874456,0.0892,0.1060384
0.038737696,0.091,0.10729648
0.05569598,0.0888,0.106577575
0.055676263,0.0889,0.10723657
0.055676263,0.0884,0.106817216
0.03871027,0.0885,0.10735639
0.03869658,0.0875,0.10633794
0.051580176,0.0868,0.10490014
0.055627055,0.0852,0.105798766
0.045482833,0.0825,0.109513104
0.038669243,0.0918,0.107536115
0.055597596,0.0882,0.10633794
0.062390942,0.0986,0.11101082
0.062379938,0.0885,0.10903383
0.055558387,0.0894,0.10639785
0.04543471,0.0904,0.10903383
0.045426704,0.097,0.11089101
0.07884007,0.0843,0.12389119
0.03316918,0.0881,0.11382653
0.045394722,0.0786,0.11137027
0.054456223,0.0699,0.112748176
0.04537876,0.0798,0.11053155
0.045370784,0.0752,0.109632924
0.04536281,0.0757,0.11005228
0.04534688,0.0743,0.109632924
0.033122573,0.0748,0.11232881
0.033122573,0.1035,0.111669816
0.03854693,0.0944,0.10615822
0.024579382,0.0777,0.10046689
0.03916435,0.096,0.11688188
0.059137736,0.1172,0.11808005
0.06879594,0.1107,0.120596215
0.068783894,0.116,0.1218543
0.068771854,0.1155,0.120596215
0.045259554,0.0936,0.109573014
0.03271006,0.0711,0.10286324
0.024540687,0.09,0.09992771
0.010676506,0.0836,0.10100607
0.0106746415,0.0719,0.10004753
0.010672777,0.0712,0.0991489
0.022730684,0.068,0.09998762
0.022722755,0.0614,0.09902908
0.022718793,0.0571,0.09992771
0.022718793,0.0707,0.0991489
0.036823563,0.0827,0.10639785
0.06269855,0.0728,0.11796023
0.05091803,0.0849,0.10837484
0.03679792,0.09,0.10615822
0.028211659,0.0744,0.10436095
0.036778722,0.0709,0.107596025
0.04635091,0.0797,0.10430105
0.046342857,0.0812,0.105619036
0.07211057,0.0884,0.115623794
0.06659738,0.1016,0.112568446
0.057595864,0.0856,0.109453194
0.062280647,0.1053,0.11903859
0.07411771,0.1142,0.123471834
0.08348665,0.1187,0.12892352
0.07099785,0.1232,0.12179439
0.057525992,0.1069,0.11101082
0.052524973,0.0584,0.113586895
0.022639984,0.0696,0.10028716
0.04787853,0.0622,0.09747145
0.022628235,0.0752,0.10034707
0.022624321,0.0736,0.10208443
0.06485946,0.0876,0.10891402
0.062448893,0.1005,0.11664224
0.05245235,0.0973,0.113467075
0.0507066,0.1008,0.10717666
0.06640168,0.0952,0.112748176
0.06208699,0.1027,0.11993722
0.0578763,0.1107,0.114665255
0.06636733,0.0975,0.11394635
0.028075224,0.0711,0.10292315
0.031105027,0.0583,0.097711086
0.050636705,0.07,0.10705685
0.028060723,0.0776,0.1039416
0.05781652,0.1023,0.11478507
0.06358628,0.1195,0.12790507
0.09506922,0.1319,0.12904334
0.1013164,0.131,0.13024151
0.10502305,0.1366,0.13880846
0.105586216,0.1302,0.14072554
0.10407393,0.1341,0.1362923
0.09295337,0.1402,0.1329374
0.092937425,0.1338,0.13443512
0.08303345,0.1286,0.12754562
0.10119477,0.1318,0.13108024
0.08299884,0.1165,0.12862398
0.09488993,0.1189,0.1286839
0.09251536,0.1218,0.12502946
0.10472524,0.1362,0.13311712
0.101108156,0.1319,0.13054106
0.10109086,0.1224,0.1301217
0.091302335,0.1328,0.13257796
0.091286734,0.1253,0.1315595
0.09127115,0.1283,0.13215859
0.101004526,0.1226,0.13030142
0.100987285,0.1208,0.1301217
0.0947178,0.1354,0.12850416
0.09268344,0.123,0.13389595
0.09266764,0.1296,0.13401577
0.09992686,0.1324,0.13539366
0.092636056,0.1318,0.1342554
0.1044931,0.1364,0.13347659
0.102984436,0.1351,0.13245814
0.09111566,0.1193,0.13167933
0.082707964,0.1219,0.12826453
0.09252577,0.1231,0.13269778
0.08890528,0.1332,0.13018161
0.08890528,0.1234,0.13018161
0.08889018,0.1237,0.13018161
0.08886,0.1288,0.13096042
0.088844925,0.1232,0.1309005
0.09097642,0.1313,0.13185905
0.08881479,0.1229,0.13054106
0.102774754,0.1191,0.13143969
0.09439627,0.1202,0.12802489
0.08253968,0.1281,0.12832443
0.08250563,0.1321,0.12994197
0.08872458,0.121,0.13000187
0.08872458,0.1307,0.13000187
0.08248382,0.1247,0.12766545
0.08244982,0.1222,0.12934288
0.0886646,0.1222,0.13000187
0.0824359,0.1302,0.1294627
0.10258369,0.1244,0.13197887
0.08861969,0.1167,0.13024151
0.09419884,0.1189,0.12922306
0.09416707,0.1236,0.12892352
0.08857486,0.1265,0.1307807
0.088545,0.1289,0.13072078
0.08231693,0.1315,0.12826453
0.08230307,0.1271,0.12796499
0.082283124,0.1316,0.12994197
0.08226927,0.1211,0.1294627
0.10239371,0.1281,0.1314996
0.10237649,0.1243,0.13179915
0.10235929,0.1274,0.13137978
0.09053213,0.139,0.13245814
0.0883962,0.1337,0.13000187
0.0883962,0.1306,0.13000187
0.09395168,0.1213,0.12790507
0.08835171,0.1304,0.13102032
0.0904562,0.1287,0.13131987
0.09190321,0.1191,0.13407567
0.090425886,0.1158,0.13227841
0.071074136,0.1293,0.13179915
0.10217058,0.1245,0.13203877
0.08204872,0.1242,0.12982215
0.07103846,0.1361,0.13245814
0.08202128,0.13,0.12910324
0.068898596,0.133,0.13054106
0.08818917,0.1222,0.13018161
0.093747444,0.1274,0.12712626
0.090289846,0.1361,0.13245814
0.0902597,0.1303,0.13173923
0.09168834,0.1331,0.13365631
0.091673054,0.1224,0.13377613
0.10409617,0.1301,0.13976699
0.08429684,0.1339,0.13719092
0.10326063,0.1298,0.1383292
0.10253686,0.1316,0.1370711
0.10324343,0.1242,0.13779001
0.10250273,0.1272,0.13689138
0.10248568,0.1367,0.13653193
0.10335042,0.1263,0.13934764
0.10394032,0.1284,0.13982691
0.10312332,0.1383,0.13790983
0.08484837,0.141,0.13767019
0.10240056,0.1393,0.13653193
0.09865807,0.1371,0.13599275
