pred,ture,toa
0.11196839,0.1143,0.0982363
0.078912996,0.0685,0.07750849
0.078912996,0.1034,0.07750849
0.09876186,0.0677,0.08831396
0.07080548,0.0755,0.07428763
0.0622379,0.0567,0.069404386
0.084430486,0.1057,0.07917087
0.1208223,0.107,0.09667782
0.085891075,0.0896,0.08161249
0.09859382,0.1059,0.08784642
0.11168043,0.1137,0.091430925
0.1116567,0.1137,0.09278161
0.113020204,0.1307,0.10706769
0.10466614,0.104,0.0898205
0.098510094,0.0817,0.08805422
0.07824158,0.0817,0.07792409
0.08423342,0.0793,0.079534516
0.08423342,0.0696,0.079534516
0.07066186,0.0715,0.07169016
0.07064689,0.0753,0.07241745
0.1017852,0.0957,0.093197204
0.08777001,0.0924,0.082963176
0.09805746,0.101,0.08633988
0.09803672,0.1203,0.086651586
0.122339584,0.1266,0.09937918
0.12263688,0.1238,0.10010648
0.11300511,0.1166,0.09496348
0.10340798,0.112,0.09517128
0.10426815,0.1049,0.08987244
0.09789192,0.1049,0.087119125
0.083948955,0.0813,0.078495525
0.06185672,0.0698,0.068884894
0.08752949,0.1,0.082443684
0.08752949,0.1288,0.082443684
0.11247509,0.1124,0.09865189
0.09774768,0.1067,0.087378874
0.09890522,0.132,0.10047012
0.09890522,0.155,0.10047012
0.13518368,0.155,0.11205483
0.14163902,0.1571,0.11314577
0.12187654,0.1195,0.09875579
0.1126251,0.1408,0.09439204
0.13048086,0.14,0.103742935
0.13195284,0.1364,0.10441827
0.13030645,0.1497,0.10909372
0.12172323,0.1458,0.09880774
0.0858968,0.1219,0.09387255
0.09865647,0.1135,0.10041817
0.09307943,0.1291,0.098028496
0.112412855,0.1148,0.0939245
0.09739978,0.1104,0.08758667
0.07908852,0.1386,0.09189847
0.13015339,0.1344,0.103483185
0.13360722,0.1422,0.1063404
0.121789776,0.1409,0.10072987
0.13007186,0.1376,0.10379488
0.12173895,0.1236,0.10098962
0.11938032,0.1288,0.0978207
0.1098534,0.1586,0.097664855
0.14856502,0.1574,0.11319772
0.14246966,0.1295,0.109561265
0.10035018,0.142,0.09070364
0.12183062,0.1346,0.10478192
0.10076505,0.1205,0.093093306
0.078825094,0.1074,0.09132703
0.08710786,0.1307,0.08618404
0.12511294,0.1503,0.101820804
0.14828712,0.1597,0.113769166
0.14916845,0.1394,0.11454841
0.14249752,0.156,0.11189899
0.15946497,0.1548,0.11787317
0.12098952,0.1309,0.099431135
0.10948855,0.1299,0.097509004
0.13722785,0.1392,0.106652096
0.14791223,0.1555,0.11278213
0.16041707,0.1685,0.11860046
0.1679426,0.1702,0.12566558
0.17521352,0.1791,0.1280033
0.15120992,0.1546,0.11532765
0.15120992,0.1323,0.11532765
0.121058255,0.1382,0.100054525
0.12100824,0.1339,0.100937665
0.13754477,0.1438,0.10774303
0.13754477,0.1446,0.10774303
0.1368878,0.1279,0.10722354
0.12457022,0.1349,0.10161301
0.12454454,0.1342,0.10124936
0.15594414,0.1633,0.11693808
0.15089816,0.1591,0.11501595
0.14090654,0.1496,0.11480815
0.14733306,0.1419,0.112470426
0.13666238,0.1442,0.10696379
0.14724216,0.1545,0.11226263
0.13660617,0.1508,0.10680795
0.14132448,0.149,0.11023661
0.14734057,0.1557,0.11340552
0.12281778,0.1381,0.10618455
0.12705338,0.1473,0.106392354
0.10937244,0.103,0.0933011
0.08406304,0.0978,0.08187224
0.10930518,0.1169,0.09262576
0.1181772,0.1303,0.09859994
0.111008145,0.11,0.09995063
0.09645738,0.0837,0.08846981
0.06079962,0.073,0.06841735
0.07659668,0.0876,0.076988995
0.07659668,0.1004,0.076988995
0.08601711,0.0911,0.08311903
0.08389112,0.0911,0.0807813
0.08241262,0.0872,0.07859943
0.09414023,0.1017,0.08514505
0.08383974,0.0965,0.080157906
0.08234536,0.0894,0.07854748
0.085894264,0.086,0.08228783
0.05397611,0.0686,0.06587183
0.045726214,0.0669,0.059897646
0.07062136,0.082,0.07387203
0.07075618,0.0817,0.0721577
0.048643656,0.0745,0.06462504
0.06230734,0.0782,0.06956023
0.055628438,0.1001,0.06587183
0.12974061,0.1395,0.10400268
0.12264404,0.143,0.104626074
0.14202727,0.1525,0.11086
0.1480318,0.1694,0.11340552
0.16028959,0.1072,0.124003194
0.09547623,0.1072,0.084573604
0.11058561,0.1241,0.09808045
0.070420735,0.0911,0.07543051
0.055504348,0.0864,0.06639132
0.07054096,0.0801,0.0725733
0.070377946,0.0885,0.074443474
0.0777893,0.0919,0.07662535
0.0469674,0.071,0.05968985
0.05544819,0.0905,0.065456234
0.06208034,0.0809,0.06945633
0.070441134,0.0871,0.0724694
0.055403378,0.0866,0.06701472
0.07041268,0.1279,0.072053805
0.110295154,0.0918,0.096625865
0.070384264,0.0859,0.07241745
0.07035588,0.0882,0.07319669
0.07761663,0.1147,0.07641755
0.08486742,0.1174,0.08161249
0.09721472,0.1249,0.08857371
0.0702992,0.0855,0.07158626
0.07015095,0.1131,0.07491102
0.096899316,0.1073,0.08628794
0.07793151,0.1073,0.08337877
0.09684088,0.1153,0.08722302
0.07788452,0.1062,0.08270343
0.07786888,0.1151,0.08249563
0.096801974,0.1378,0.08722302
0.11219795,0.1461,0.09995063
0.10991847,0.1289,0.098132394
0.016860832,0.037,0.04779344
0.08462895,0.2048,0.081300795
0.16682589,0.1863,0.12893839
0.1301054,0.1678,0.10504167
0.15784882,0.0831,0.118548505
0.102772005,0.1221,0.0895088
0.094709836,0.1566,0.08441776
0.10943636,0.1236,0.09096338
0.10271035,0.1309,0.089924395
0.10264888,0.1176,0.09543103
0.08784192,0.1099,0.08795032
0.08571119,0.1142,0.08571649
0.08648923,0.1101,0.083326824
0.07447051,0.118,0.0897166
0.10036473,0.1208,0.090807535
0.087500885,0.1155,0.08701523
0.109196335,0.1246,0.091690674
0.10947983,0.1312,0.096366115
0.10917459,0.1284,0.090807535
0.110866785,0.1187,0.094080344
0.08763202,0.1187,0.089041255
0.1024036,0.1218,0.09044389
0.096478164,0.1188,0.08846981
0.10236289,0.125,0.0898205
0.10058985,0.1194,0.092314065
0.10897938,0.119,0.09091143
0.09342797,0.1179,0.0898205
0.10893614,0.1253,0.09200237
0.12455584,0.1378,0.10228835
0.09632506,0.1105,0.088262014
0.11058088,0.1257,0.09527518
0.13279869,0.1571,0.11111975
0.11752855,0.1361,0.097249255
0.119434014,0.1624,0.09958698
0.16379225,0.1815,0.12431489
0.16782646,0.183,0.13054882
0.17136544,0.1833,0.1275877
0.14563927,0.1236,0.11257433
0.06954615,0.1439,0.071014814
0.12762645,0.13,0.10343123
0.11731959,0.1034,0.09657392
0.093978725,0.1442,0.084469706
0.123054475,0.1398,0.102080554
0.13090119,0.1445,0.105509214
0.1275006,0.1449,0.10363904
0.13660114,0.1477,0.10836643
0.1633402,0.1757,0.1234837
0.15893601,0.1721,0.12166547
0.1562897,0.1634,0.11771732
0.15044868,0.1689,0.115899086
0.1453356,0.1571,0.11356137
0.1017176,0.116,0.089768544
0.11925026,0.1447,0.10010648
0.16308343,0.1849,0.12431489
0.1671335,0.1847,0.13023712
0.17469025,0.19,0.1321073
0.1648202,0.1721,0.1280033
0.16347207,0.1786,0.12556167
0.16250382,0.179,0.12722406
0.16472328,0.1799,0.12753575
0.16528654,0.1782,0.12930202
0.16690427,0.1657,0.13013323
0.1322284,0.1545,0.11143144
0.17438248,0.1834,0.13278264
0.18625753,0.1937,0.13948411
0.18618473,0.1903,0.13771783
0.17406556,0.1037,0.13454892
0.09344514,0.0897,0.085612595
0.08194183,0.0897,0.079378664
0.12649232,0.1412,0.108054735
0.15672544,0.1731,0.124782436
0.17945357,0.192,0.13543206
0.16292964,0.1771,0.12602922
0.1623831,0.1671,0.12493828
0.10810816,0.1292,0.098392144
0.12660462,0.1391,0.10363904
0.12324153,0.1389,0.10280784
0.099410355,0.1312,0.093093306
0.08628616,0.109,0.087378874
0.109891176,0.1301,0.09865189
0.0844042,0.1059,0.08524895
0.08646836,0.1177,0.08810616
0.086369,0.1125,0.09610637
0.10096477,0.1345,0.09434009
0.10976322,0.1329,0.09870384
0.083058424,0.1132,0.08208004
0.093045965,0.1046,0.085197
0.100926735,0.1119,0.089924395
0.09300991,0.102,0.08556064
0.095050424,0.1023,0.08805422
0.09210072,0.1104,0.0896127
0.08296195,0.0982,0.0809891
0.08152888,0.0975,0.07917087
0.09908313,0.1177,0.09293746
0.09904484,0.1165,0.09298941
0.10071098,0.1058,0.09480764
0.11588536,0.1212,0.09849604
0.11804884,0.1335,0.10104156
0.15068914,0.1342,0.121197924
0.14828017,0.1641,0.1193797
0.1259198,0.138,0.10415853
0.11903346,0.1379,0.104626074
0.1338771,0.1403,0.10743134
0.13071428,0.1455,0.110704154
0.13071428,0.1541,0.110704154
0.1295118,0.1507,0.10987296
0.13063884,0.1485,0.11086
0.12946199,0.1659,0.10940541
0.14025097,0.1543,0.115119845
0.15420704,0.1684,0.118808255
0.15031262,0.1685,0.12202912
0.14788127,0.1669,0.12010699
0.1478529,0.1644,0.12010699
0.14191832,0.1549,0.11595104
0.13777827,0.1472,0.114652306
0.143291,0.1383,0.11345747
0.13682769,0.1424,0.11330162
0.16082233,0.152,0.12436684
0.13998221,0.153,0.1151718
0.13594456,0.1599,0.112470426
0.13797976,0.1624,0.11797707
0.14739363,0.1595,0.11776926
0.14991008,0.167,0.121197924
0.16019346,0.1695,0.12691236
0.15540025,0.1763,0.12628897
0.15486161,0.1713,0.12483438
0.1623202,0.1791,0.12831499
0.14953032,0.1736,0.120730385
0.13565917,0.1511,0.11221068
0.101560585,0.1244,0.10239225
0.10817949,0.1278,0.093353055
0.10817949,0.1109,0.093353055
0.11499995,0.1152,0.09631417
0.114956185,0.122,0.098547995
0.112392,0.1254,0.10135326
0.1354527,0.1524,0.11304187
0.14691672,0.1558,0.11828876
0.16728827,0.1816,0.13065271
0.16412713,0.1811,0.13023712
0.16188824,0.1785,0.1277955
0.19520448,0.1847,0.14447126
0.19753684,0.2058,0.14680898
0.20436136,0.1986,0.15200391
0.1858925,0.2004,0.14171794
0.20749079,0.1848,0.15449749
0.19838026,0.1962,0.14909475
0.19734976,0.1686,0.14634143
0.17125662,0.1708,0.13345799
0.14386253,0.1512,0.11683418
0.10854278,0.1329,0.10057402
0.09719786,0.1365,0.09989867
0.11637709,0.1406,0.10369098
0.100628264,0.1319,0.1021325
0.10846078,0.1355,0.10036622
0.1500842,0.1291,0.117041975
0.123627,0.143,0.10722354
0.21193673,0.2249,0.15777029
0.2241289,0.2341,0.16571856
0.21439642,0.2288,0.16026387
0.1469,0.1592,0.11657443
0.13617933,0.1348,0.10940541
0.14277306,0.1644,0.11413281
0.13159989,0.1555,0.10727549
0.1450066,0.1569,0.115275696
0.15260446,0.1621,0.119847246
0.15495104,0.1652,0.12171742
0.15489283,0.1658,0.12176937
0.15912375,0.1663,0.12363955
0.15909389,0.1702,0.1234837
0.14481604,0.1658,0.11543155
0.154542,0.163,0.12083428
0.15474756,0.1641,0.12114598
0.15448406,0.1633,0.12015894
0.15442617,0.1659,0.12015894
0.15439726,0.1627,0.12067843
0.15888526,0.1704,0.12436684
0.15436837,0.1636,0.120730385
0.15431061,0.1634,0.120314784
0.15876639,0.1666,0.123899296
0.16052169,0.1693,0.12737991
0.15442935,0.1675,0.12187327
0.15440051,0.1607,0.12099013
0.1520337,0.16,0.1193797
0.15858857,0.1693,0.12410709
0.14122029,0.1506,0.11392501
0.14119396,0.1533,0.11371721
0.15866655,0.1543,0.123172
0.14114133,0.1649,0.11356137
0.14096457,0.1479,0.11252238
0.15163326,0.1571,0.11756147
0.14896321,0.1568,0.11750952
0.14186771,0.1604,0.11444451
0.13778105,0.1511,0.11558739
0.14181496,0.1594,0.114652306
0.16622646,0.1798,0.12899034
0.16971153,0.1474,0.13091247
0.1487695,0.1409,0.11709393
0.11524914,0.1493,0.10384683
0.143954,0.152,0.11543155
0.14865914,0.1517,0.116782226
0.14566986,0.1573,0.11595104
0.13537115,0.1536,0.111327544
0.14384729,0.1594,0.11491205
0.15348011,0.1645,0.12078233
0.15368463,0.1632,0.12150963
0.15835422,0.1723,0.12545778
0.12788428,0.1516,0.11080805
0.12821563,0.1455,0.11163924
0.14139505,0.1543,0.11454841
0.15773714,0.1622,0.1236915
0.1534859,0.1453,0.12192522
0.1576789,0.1684,0.12436684
0.18494773,0.1935,0.13808148
0.1804424,0.1936,0.13901657
0.18642613,0.2028,0.14364006
0.19539028,0.2104,0.14764017
0.18622379,0.193,0.13963996
0.1783953,0.1799,0.13517231
0.17393029,0.1888,0.13605545
0.17389828,0.1874,0.13626325
0.17386629,0.1861,0.13522427
0.15735972,0.1806,0.1237954
0.16467036,0.1648,0.12883449
0.15777159,0.1663,0.12592532
0.15774262,0.1695,0.12644482
0.15303443,0.1665,0.12208106
0.14671603,0.1661,0.12182132
0.12734379,0.1569,0.11039245
0.1576269,0.1401,0.12550972
0.17256208,0.1598,0.13444503
0.16436853,0.1764,0.1278994
0.17978035,0.1919,0.13766588
0.17974742,0.1907,0.13761394
0.17261133,0.1823,0.1321073
0.16834082,0.1733,0.13101636
0.1761958,0.179,0.1370425
0.17251666,0.1778,0.13330214
0.15733866,0.1711,0.12566558
0.15730992,0.1708,0.12561363
0.16409823,0.1874,0.12810719
0.16467266,0.1829,0.12956178
0.1650325,0.1857,0.13008127
0.16767924,0.1889,0.13434112
0.17208956,0.1833,0.13418527
0.16800314,0.178,0.13065271
0.16172478,0.1792,0.12691236
0.16385907,0.1755,0.12878254
0.15233666,0.1705,0.12234081
0.15228124,0.1602,0.12099013
0.1497752,0.1571,0.11828876
0.14974797,0.1583,0.11901605
0.15196754,0.1608,0.12052259
0.15217057,0.1715,0.12202912
0.15214294,0.1695,0.12130182
0.15188478,0.1676,0.12026284
0.1564357,0.1764,0.1230681
0.16353185,0.1722,0.12774356
0.16134319,0.1718,0.1267565
0.16754583,0.178,0.13086051
