pred,ture,toa
0.141919,0.146,0.099638134
0.09173162,0.084,0.069379754
0.09173162,0.13,0.069379754
0.1379083,0.0967,0.09568648
0.10095996,0.1049,0.07304915
0.084019646,0.0796,0.06587972
0.10664815,0.1464,0.07575885
0.1487775,0.1457,0.101331696
0.118725084,0.1255,0.08687994
0.15108794,0.1594,0.103194624
0.14868261,0.1605,0.101162344
0.15105584,0.1605,0.10342043
0.17309852,0.1875,0.12221901
0.14858788,0.1512,0.100654274
0.14549287,0.112,0.098621994
0.107222915,0.112,0.07903308
0.107200176,0.1052,0.07846856
0.107200176,0.0929,0.07846856
0.090893306,0.0962,0.07005718
0.09657641,0.101,0.071750745
0.149485,0.1346,0.105565615
0.12262996,0.128,0.08868641
0.13177435,0.1416,0.093880005
0.13723657,0.1699,0.09546067
0.17337202,0.1794,0.11583991
0.17333539,0.1759,0.11595282
0.16382371,0.17,0.110476956
0.15884967,0.164,0.11081567
0.15041754,0.1479,0.10257365
0.13895051,0.1479,0.09726714
0.11004233,0.1054,0.08134762
0.083505064,0.0896,0.06638779
0.13883342,0.1476,0.097097784
0.13883342,0.1885,0.097097784
0.17248143,0.1631,0.12041254
0.14777361,0.1545,0.10054137
0.1613761,0.1875,0.117081866
0.1613761,0.2152,0.117081866
0.19137827,0.2152,0.12972715
0.20086423,0.2144,0.1331143
0.16977571,0.1667,0.11346892
0.15767945,0.2009,0.10867049
0.18828768,0.1968,0.12346096
0.18809412,0.1931,0.12509808
0.208286,0.2198,0.13757402
0.18251283,0.2179,0.12204966
0.16755274,0.1892,0.12041254
0.18346305,0.1759,0.12871101
0.17164491,0.1936,0.12204966
0.17227556,0.1723,0.11459797
0.16177553,0.1695,0.109460816
0.16050349,0.2046,0.11589637
0.18781513,0.1923,0.12368677
0.20458707,0.2097,0.13305783
0.18132648,0.2136,0.12154159
0.19501132,0.2038,0.12972715
0.17239788,0.1741,0.117589936
0.18776655,0.2011,0.12459
0.18604971,0.2333,0.12735616
0.22452997,0.2331,0.14542086
0.21298023,0.198,0.14050953
0.16586941,0.2155,0.11640444
0.20199476,0.2084,0.13548528
0.17544183,0.1909,0.12171094
0.16460304,0.168,0.118718974
0.15630727,0.1961,0.10906565
0.19650272,0.2253,0.13142072
0.22034848,0.2369,0.1436144
0.22422,0.2098,0.1463241
0.21249357,0.2327,0.14011437
0.22997889,0.2312,0.14959833
0.18995583,0.2006,0.12600131
0.17507781,0.1982,0.121767394
0.20582415,0.2122,0.13525946
0.21641378,0.2252,0.14333214
0.22384839,0.2379,0.14564668
0.25240022,0.2476,0.15902585
0.2539075,0.2595,0.16162264
0.2161452,0.2253,0.14282407
0.2161452,0.2132,0.14282407
0.2053862,0.2199,0.13480785
0.21083952,0.2178,0.13746111
0.2031898,0.2091,0.13334009
0.2031898,0.2159,0.13334009
0.20693289,0.1922,0.13678367
0.20689021,0.2152,0.13610625
0.20508966,0.2134,0.13509011
0.2290299,0.2427,0.14942898
0.22687985,0.2339,0.14660637
0.21940695,0.2253,0.14485635
0.21556637,0.2159,0.14175147
0.20277147,0.2145,0.133453
0.21543339,0.2312,0.14209019
0.21027549,0.2261,0.13717885
0.21181718,0.2259,0.13892886
0.21290177,0.2306,0.14067888
0.18436368,0.198,0.12797713
0.18877257,0.212,0.12995297
0.16772869,0.1587,0.112509236
0.14278144,0.1509,0.10020266
0.18014549,0.189,0.122106105
0.1929252,0.2036,0.13046104
0.18854044,0.1615,0.13040458
0.15467197,0.1202,0.10624304
0.10420576,0.1073,0.07575885
0.10811684,0.1155,0.080726646
0.10811684,0.1389,0.080726646
0.12916994,0.1229,0.09342839
0.11322892,0.1229,0.08507346
0.10802847,0.1145,0.08067019
0.12581994,0.134,0.09167837
0.11077419,0.1237,0.081912145
0.107940294,0.1141,0.08067019
0.12506153,0.1073,0.09077514
0.076219656,0.0834,0.06266194
0.062315106,0.077,0.054532826
0.104130454,0.0969,0.07575885
0.08900397,0.0965,0.06966201
0.061416194,0.088,0.056282844
0.08894964,0.0961,0.06892814
0.08254798,0.1397,0.0667265
0.19719382,0.1979,0.13159008
0.18921438,0.2017,0.1294449
0.21071146,0.2156,0.13796918
0.21071146,0.2377,0.13819498
0.23194799,0.1547,0.15117899
0.1459347,0.1547,0.10223494
0.16145886,0.1685,0.11233988
0.11247554,0.1235,0.08405732
0.08236383,0.1159,0.06853297
0.10584882,0.0992,0.07965405
0.107907005,0.1244,0.081234716
0.12071112,0.1312,0.08891221
0.07557383,0.0894,0.062040966
0.0822805,0.1184,0.065653905
0.09808558,0.1027,0.07237172
