pred,ture,toa
0.009058495,0.0189825,0.06
0.009058495,0.0169475,0.05956
0.012267428,0.01945,0.06286
0.009058495,0.0167825,0.05936
0.009058495,0.0198625,0.06008
0.009058495,0.0184325,0.05896
0.009058495,0.0187075,0.05932
0.012267428,0.022585,0.06152
0.009058495,0.01923,0.05942
0.012267428,0.0195875,0.06054
0.012267428,0.0184875,0.06022
0.009058495,0.017745,0.05948
0.012267428,0.019615,0.06044
0.009058495,0.018735,0.05964
0.009058495,0.0201925,0.05996
0.012267428,0.0208525,0.06054
0.012267428,0.0211825,0.06072
0.012267428,0.0221175,0.06106
0.009058495,0.018955,0.05968
0.009058495,0.0183225,0.05962
0.012267428,0.0201925,0.06086
0.009058495,0.017855,0.05904
0.009058495,0.0193675,0.0596
0.009058495,0.019945,0.05982
0.012267428,0.02198,0.06108
0.009058495,0.01923,0.05982
0.009058495,0.0156825,0.05832
0.009058495,0.0181025,0.05956
0.012267428,0.0181575,0.06052
0.012267428,0.0161225,0.0617
0.012267428,0.0174975,0.06072
0.009058495,0.0173325,0.0593
0.012267428,0.022145,0.06108
0.012267428,0.020715,0.06068
0.009058495,0.018185,0.05976
0.012267428,0.020935,0.06192
0.009058495,0.01868,0.0601
0.012267428,0.01978,0.0605
0.012267428,0.0194775,0.06046
0.012267428,0.02011,0.06052
0.012267428,0.0206875,0.06054
0.009058495,0.0193125,0.05946
0.012267428,0.02011,0.06076
0.012267428,0.0189825,0.06044
0.012267428,0.020055,0.06078
0.012267428,0.0199175,0.06084
0.009058495,0.0188175,0.05992
0.009058495,0.0189275,0.05924
0.009058495,0.0187625,0.0597
0.009058495,0.01824,0.0594
0.009058495,0.0187625,0.05916
0.012267428,0.0228325,0.06156
0.012267428,0.0221725,0.06148
0.012267428,0.0220625,0.06192
0.012267428,0.01835,0.06034
0.009058495,0.01736,0.05948
0.012267428,0.020825,0.06032
0.012267428,0.0210175,0.06064
0.012267428,0.0215675,0.06096
0.009058495,0.0188725,0.05922
0.009058495,0.0185425,0.05936
0.009058495,0.0168375,0.05882
0.009058495,0.017195,0.0595
0.009058495,0.01703,0.0593
0.012267428,0.02066,0.06092
0.009058495,0.0200275,0.05988
0.009058495,0.0189825,0.05952
0.009058495,0.01769,0.05956
0.012267428,0.01802,0.0613
0.012267428,0.01736,0.0603
0.012267428,0.0172775,0.06034
0.012267428,0.015985,0.06042
0.012267428,0.01824,0.06022
0.012267428,0.02011,0.0604
0.012267428,0.02088,0.06036
0.012267428,0.0212925,0.06096
0.012267428,0.0189,0.06014
0.009058495,0.0171125,0.0598
0.012267428,0.0197525,0.06062
0.012267428,0.020165,0.06032
0.009058495,0.01934,0.05948
0.009058495,0.01846,0.05918
0.012267428,0.0203025,0.06022
0.009058495,0.02033,0.06004
0.009058495,0.02033,0.06004
0.012267428,0.02088,0.06036
0.012267428,0.0213475,0.06062
0.009058495,0.0190375,0.0601
0.009058495,0.0184875,0.0601
0.009058495,0.01769,0.05944
0.009058495,0.01791,0.05976
0.009058495,0.0159575,0.05866
0.012267428,0.01923,0.06032
0.009058495,0.017525,0.05924
0.012267428,0.019395,0.06038
0.012267428,0.0221175,0.06218
