pred,ture,toa
0.023336753,0.0343275,0.04602
0.019141564,0.0318525,0.04492
0.023336753,0.0319075,0.04574
0.014339189,0.025005,0.04082
0.019141564,0.0328425,0.04488
0.014339189,0.028195,0.04192
0.019141564,0.0294325,0.0428
0.023336753,0.0360875,0.04674
0.019141564,0.0331175,0.04484
0.019141564,0.0324025,0.04498
0.023336753,0.0334475,0.0458
0.019141564,0.03111,0.04428
0.023336753,0.0344375,0.04618
0.019141564,0.02858,0.0425
0.019141564,0.033035,0.0448
0.023336753,0.0343,0.04568
0.023336753,0.03441,0.04574
0.023336753,0.0363625,0.04676
0.019141564,0.0303125,0.04348
0.014339189,0.02737,0.04194
0.023336753,0.0331175,0.04546
0.019141564,0.02847,0.04236
0.019141564,0.030835,0.04356
0.019141564,0.0332825,0.04494
0.027695091,0.03738,0.04744
0.019141564,0.029295,0.04286
0.014339189,0.025995,0.04126
0.014339189,0.0274525,0.042
0.023336753,0.0324025,0.0454
0.019141564,0.02737,0.04346
0.023336753,0.035015,0.04718
0.023336753,0.034135,0.046
0.023336753,0.03463,0.04574
0.023336753,0.033365,0.04528
0.023336753,0.033255,0.04556
0.019141564,0.0294875,0.04376
0.023336753,0.032375,0.04508
0.023336753,0.034025,0.0459
0.023336753,0.034025,0.046
0.023336753,0.03309,0.04524
0.019141564,0.0322925,0.04456
0.023336753,0.03364,0.04516
0.023336753,0.0352625,0.04664
0.023336753,0.035015,0.04668
0.023336753,0.0342175,0.0461
0.027695091,0.0372425,0.04792
0.027695091,0.03705,0.04762
0.019141564,0.0304225,0.04324
0.019141564,0.02957,0.04312
0.019141564,0.028745,0.04264
0.019141564,0.030945,0.04356
0.023336753,0.0358675,0.04654
0.027695091,0.0389475,0.04856
0.027695091,0.0364725,0.04744
0.027695091,0.0364175,0.04768
0.019141564,0.02803,0.04254
0.019141564,0.032045,0.0442
0.023336753,0.0351525,0.0462
0.023336753,0.0358675,0.04662
0.019141564,0.031165,0.04368
0.019141564,0.031165,0.04392
0.019141564,0.028305,0.04252
0.019141564,0.0273975,0.04232
0.019141564,0.0293225,0.0433
0.027695091,0.0377925,0.04802
0.019141564,0.0310825,0.04364
0.014339189,0.0283325,0.04216
0.023336753,0.0338325,0.04584
0.027695091,0.0361975,0.04788
0.023336753,0.034905,0.04698
0.023336753,0.0338875,0.04642
0.027695091,0.0355375,0.04762
0.023336753,0.0345475,0.04646
0.023336753,0.0352075,0.04638
0.027695091,0.0375725,0.04748
0.023336753,0.0334475,0.0453
0.023336753,0.032925,0.04534
0.023336753,0.03188,0.0452
0.023336753,0.0338875,0.04592
0.023336753,0.0356475,0.0466
0.019141564,0.0331175,0.04484
0.014339189,0.02759,0.0417
0.023336753,0.033585,0.04526
0.019141564,0.032595,0.04454
0.023336753,0.0361425,0.04664
0.023336753,0.0361425,0.04664
0.019141564,0.0333375,0.04498
0.019141564,0.0302025,0.04364
0.019141564,0.032155,0.045
0.019141564,0.0303125,0.0438
0.023336753,0.0345475,0.04644
0.019141564,0.0299825,0.04374
0.023336753,0.0342725,0.04614
0.023336753,0.033255,0.04546
0.023336753,0.0349325,0.0465
0.027695091,0.03936,0.0493
0.027695091,0.037105,0.04768
0.027695091,0.03914,0.04864
0.023336753,0.0358675,0.04648
0.023336753,0.0363075,0.04674
0.023336753,0.034795,0.04584
0.023336753,0.03452,0.04568
0.023336753,0.0330075,0.04532
0.023336753,0.0322375,0.04506
0.023336753,0.035125,0.04664
0.023336753,0.03617,0.04692
0.027695091,0.0394975,0.0487
0.019141564,0.0332825,0.04494
0.023336753,0.036005,0.04656
0.027695091,0.0396625,0.04872
0.019141564,0.0302025,0.04312
0.019141564,0.03133,0.04378
0.023336753,0.0342725,0.04552
0.023336753,0.03364,0.04516
0.019141564,0.0316875,0.04418
0.033012655,0.0436225,0.05124
0.023336753,0.036665,0.04694
0.027695091,0.03826,0.04796
0.023336753,0.035675,0.04664
0.014339189,0.0231075,0.03958
