pred,ture,toa
0.16693659,0.1455,0.2135
0.1873443,0.1509,0.2243
0.19133484,0.1515,0.2294
0.14330731,0.1376,0.1956
0.14928062,0.1347,0.1972
0.14052245,0.1307,0.1894
0.15760465,0.1448,0.2046
0.18423773,0.1566,0.221
0.16753301,0.1401,0.2082
0.1563298,0.1427,0.2024
0.15760465,0.1557,0.2042
0.14263916,0.1561,0.1937
0.1412552,0.1429,0.1906
0.1563298,0.1466,0.2015
0.1357811,0.1404,0.1853
0.1357811,0.1438,0.1865
0.1357811,0.1382,0.186
0.13251394,0.1263,0.1827
0.13691977,0.143,0.1874
0.14330731,0.1516,0.1963
0.13251394,0.1259,0.1825
0.14263916,0.1331,0.1935
0.1357811,0.1401,0.1854
0.1412552,0.1433,0.1906
0.1357811,0.137,0.1856
0.13251394,0.1361,0.1835
0.1412552,0.1483,0.1905
0.13251394,0.1362,0.1831
0.13204917,0.1311,0.1813
0.1412552,0.1416,0.1905
0.13525173,0.1415,0.1847
0.1412552,0.1361,0.1903
0.14295429,0.144,0.1939
0.14263916,0.1539,0.1936
0.13204917,0.1443,0.1812
0.13204917,0.1316,0.1804
0.13251394,0.1295,0.1835
0.15760465,0.1416,0.2045
0.15284619,0.1464,0.1998
0.13204917,0.127,0.1807
0.14295429,0.1409,0.1939
0.1357811,0.1348,0.1868
0.14295429,0.1328,0.194
0.1357811,0.1328,0.1851
0.13251394,0.1317,0.1825
0.13691977,0.137,0.1883
0.14263916,0.1445,0.193
0.16753301,0.1655,0.2091
0.16753301,0.1574,0.2089
0.17975211,0.1664,0.2208
0.19162953,0.1652,0.229
0.19647808,0.1673,0.2414
0.17975211,0.1512,0.2207
0.1357811,0.1395,0.1859
0.1563298,0.1325,0.201
0.12752698,0.1226,0.1768
0.13204917,0.1216,0.18
0.1563298,0.1331,0.2012
0.16222431,0.1483,0.2053
0.18423773,0.1674,0.2228
0.16817763,0.1609,0.2099
0.14897168,0.1513,0.1994
0.1524553,0.1481,0.2011
0.14253236,0.1398,0.1927
0.14330731,0.1471,0.1946
0.14540613,0.1461,0.1971
0.15373014,0.1599,0.2049
0.19760653,0.1753,0.2406
0.19817434,0.1757,0.233
0.19133484,0.1725,0.2304
0.16760018,0.1609,0.2118
0.16753301,0.1606,0.2096
0.1673271,0.1683,0.2148
0.16753301,0.1635,0.2081
0.18423773,0.1739,0.2221
0.15760465,0.1586,0.2035
0.15760465,0.1405,0.2042
0.14263916,0.1481,0.1929
0.19279511,0.1716,0.2377
0.16222431,0.1642,0.2058
0.19817434,0.1759,0.2344
0.18423773,0.1737,0.2216
0.19279511,0.1546,0.2361
0.19133484,0.157,0.2295
0.16222431,0.1448,0.207
0.16222431,0.1461,0.2059
0.16716313,0.1524,0.2131
0.14928062,0.1371,0.1987
0.14253236,0.13,0.1927
0.16817763,0.1521,0.2109
0.1878448,0.1677,0.2265
0.1873443,0.1643,0.2234
0.15284619,0.148,0.1994
0.14928062,0.1637,0.1984
0.14052245,0.1446,0.189
0.16222431,0.1583,0.2062
0.16760018,0.1627,0.2124
0.15284619,0.1498,0.2001
0.15760465,0.1356,0.2036
0.14928062,0.1486,0.1986
0.16693659,0.1652,0.2141
0.17975211,0.1709,0.2209
0.15284619,0.1531,0.2
0.14928062,0.147,0.1989
0.1873443,0.1579,0.2244
0.16753301,0.1462,0.2092
0.16817763,0.1521,0.2105
0.1878448,0.176,0.2275
0.1873443,0.1767,0.2234
0.20290576,0.183,0.2462
0.19279511,0.1796,0.2379
0.19133484,0.1762,0.2295
0.19279511,0.1753,0.2369
0.1878448,0.1725,0.2273
0.1878448,0.165,0.2249
0.19162953,0.1695,0.229
0.17873217,0.1707,0.2183
0.19647808,0.1672,0.2411
0.19817434,0.1781,0.2345
0.18423773,0.1807,0.2212
0.19162953,0.1644,0.2284
0.17975211,0.1722,0.2209
0.16817763,0.1582,0.211
0.16753301,0.1673,0.2087
0.16222431,0.1717,0.2068
0.18423773,0.1701,0.2212
0.20401694,0.1854,0.2454
0.20038706,0.1914,0.2437
0.19133484,0.1834,0.2304
0.20038706,0.1824,0.2432
0.16753301,0.1682,0.2074
0.16222431,0.154,0.2053
0.14139289,0.1357,0.1916
0.14295429,0.1387,0.194
0.1357811,0.1314,0.1853
0.1357811,0.1274,0.1865
0.1412552,0.1274,0.1903
0.1357811,0.1241,0.1863
0.1357811,0.1317,0.1856
0.13251394,0.1273,0.1823
0.13691977,0.1302,0.1875
0.14139289,0.1381,0.1916
0.14052245,0.1365,0.189
0.14263916,0.1346,0.193
0.14139289,0.1431,0.1918
0.14330731,0.1546,0.1955
0.16693659,0.1617,0.2138
0.13691977,0.141,0.1877
0.13691977,0.1305,0.1878
0.19133484,0.1781,0.2316
0.19133484,0.1768,0.2303
0.14263916,0.1587,0.1933
0.1563298,0.1482,0.2024
0.19162953,0.1788,0.2286
0.19817434,0.1989,0.2329
