pred,ture,toa
0.17559393,0.1472,0.1843
0.17033438,0.147,0.1798
0.2257332,0.1686,0.2277
0.18990801,0.1614,0.1933
0.17668094,0.1468,0.185
0.16025624,0.1414,0.1728
0.22247978,0.1701,0.2238
0.2384537,0.1856,0.2368
0.16542368,0.1485,0.1768
0.16542368,0.1454,0.1772
0.19618705,0.1619,0.1981
0.19676308,0.1683,0.1993
0.17668094,0.1705,0.185
0.16663152,0.1727,0.1784
0.16267398,0.1574,0.1739
0.16470392,0.1677,0.176
0.15983321,0.169,0.1721
0.1572211,0.174,0.1709
0.15300412,0.1695,0.1663
0.17033438,0.1607,0.18
0.19792147,0.176,0.2019
0.21008155,0.181,0.2124
0.17249385,0.1642,0.1813
0.18907674,0.1724,0.1922
0.16025624,0.1607,0.1734
0.15300412,0.1521,0.1665
0.15642905,0.1692,0.1677
0.17668094,0.1669,0.1855
0.16299543,0.1569,0.1749
0.16542368,0.1637,0.1766
0.15300412,0.1517,0.167
0.16267398,0.1612,0.1738
0.16470392,0.172,0.1758
0.13627353,0.1757,0.1555
0.15078624,0.1627,0.1639
0.16470392,0.1756,0.1764
0.14045107,0.1774,0.1573
0.14828105,0.1682,0.162
0.13627353,0.1466,0.1555
0.14045107,0.1447,0.1579
0.15741336,0.1651,0.1698
0.18308179,0.1719,0.1875
0.17310664,0.1727,0.1822
0.18048082,0.1635,0.1874
0.18048082,0.1872,0.1873
0.15741336,0.1554,0.1701
0.15983321,0.1538,0.1723
0.1572211,0.1532,0.1714
0.14625406,0.1429,0.1612
0.15642905,0.1467,0.1678
0.15078624,0.1408,0.1645
0.15300412,0.1424,0.1673
0.14625406,0.1342,0.161
0.18348569,0.164,0.1901
0.18048082,0.1717,0.1873
0.18348569,0.1681,0.1898
0.18350755,0.1665,0.188
0.20425022,0.1917,0.2073
0.19792147,0.1692,0.2013
0.19676308,0.169,0.1988
0.19396208,0.1765,0.1946
0.17763004,0.1774,0.1862
0.17049627,0.1819,0.1819
0.16972929,0.1805,0.1815
0.19676308,0.1868,0.1998
0.22247978,0.2041,0.2237
0.26381257,0.2109,0.2546
0.23010714,0.192,0.2323
0.19396208,0.1671,0.1947
0.18990801,0.1782,0.1937
0.21297677,0.1904,0.2156
0.20016728,0.1984,0.2055
0.18023102,0.1758,0.1859
0.23476486,0.2197,0.2341
0.19402622,0.193,0.1969
0.17310664,0.1727,0.1818
0.16542368,0.1677,0.1772
0.20425022,0.1796,0.2089
0.19663513,0.1937,0.2029
0.30877277,0.2424,0.3003
0.21620741,0.2068,0.2188
0.20425022,0.2045,0.208
0.22347188,0.21,0.2248
