pred,ture,toa
0.21413633,0.1873,0.2109
0.18298864,0.1559,0.1824
0.18663235,0.1641,0.1874
0.23714344,0.1721,0.2313
0.25912705,0.2098,0.2521
0.24843404,0.1937,0.2412
0.1678741,0.1601,0.1704
0.19461524,0.1815,0.1942
0.26736695,0.2063,0.2604
0.19461524,0.188,0.193
0.18871963,0.1787,0.1876
0.26581675,0.1887,0.2591
0.20445572,0.1867,0.2047
0.14868371,0.1487,0.1531
0.17211507,0.1812,0.1725
0.17715745,0.1876,0.1778
0.21413633,0.2218,0.2102
0.1678741,0.1873,0.1698
0.15221135,0.1769,0.1566
0.17268696,0.1681,0.1744
0.23709211,0.2118,0.2334
0.20445572,0.1987,0.2043
0.15619518,0.1571,0.1592
0.15221135,0.1828,0.1559
0.16550477,0.197,0.1682
0.1678741,0.1861,0.1712
0.15619518,0.17,0.16
0.19461524,0.1863,0.1931
0.18871963,0.1982,0.1876
0.15798092,0.1657,0.163
0.1678741,0.1754,0.1692
0.18051824,0.1955,0.1797
0.16550477,0.2194,0.169
0.23559858,0.2544,0.2308
0.18663235,0.2175,0.1874
0.20859052,0.2416,0.2068
0.18298864,0.2184,0.1824
0.16247419,0.1945,0.1653
0.14876136,0.1871,0.1511
0.17268696,0.2119,0.1747
0.14876136,0.163,0.1518
0.20866573,0.1911,0.2055
0.23709211,0.2285,0.233
0.24019462,0.214,0.2355
0.21763875,0.1924,0.211
0.18298864,0.1805,0.1837
0.17303687,0.1703,0.1738
0.18298864,0.1658,0.1822
0.1678741,0.1608,0.1712
0.16220617,0.1575,0.167
0.15975137,0.1614,0.164
0.15798092,0.1607,0.162
0.15463597,0.1533,0.1577
0.1846596,0.178,0.1848
0.18942729,0.1791,0.1899
0.21763875,0.1843,0.2123
0.30048642,0.2415,0.2858
0.20984788,0.1909,0.2069
0.20451885,0.1911,0.2023
0.15463597,0.1624,0.1574
0.17715745,0.1749,0.1773
0.18871963,0.1844,0.1901
0.1846596,0.1769,0.1847
0.16925558,0.1686,0.1719
0.18051824,0.1664,0.1799
0.21763875,0.1893,0.2124
0.20451885,0.205,0.2023
0.2114071,0.2087,0.2087
0.27240628,0.2276,0.265
0.28052822,0.229,0.2735
0.24262027,0.2611,0.2382
0.23006144,0.2194,0.2279
0.2023662,0.2062,0.1993
0.27573964,0.2304,0.2691
0.2023662,0.2181,0.1999
0.28650236,0.2468,0.2805
0.21413633,0.272,0.21
0.26506686,0.2593,0.2581
0.31388324,0.2687,0.301
0.27240628,0.2619,0.2652
0.24843404,0.2534,0.2409
0.21413633,0.219,0.2101
0.17715745,0.2139,0.1784
0.22415522,0.2541,0.22
0.30914977,0.251,0.297
0.18298864,0.1844,0.1823
0.2043163,0.2062,0.2013
0.20866573,0.1813,0.2059
0.1846596,0.1887,0.1862
0.1965111,0.1781,0.1954
0.1965111,0.2025,0.1962
0.19893983,0.2074,0.1973
0.20451885,0.1817,0.2021
0.1678741,0.1789,0.1697
0.21413633,0.2174,0.2099
0.30785444,0.2495,0.2952
0.22139782,0.2596,0.2159
0.27834088,0.2526,0.2704
0.25412276,0.2576,0.2483
0.24843404,0.2418,0.2409
0.22014044,0.2251,0.2143
0.19893983,0.2132,0.1977
0.17268696,0.1941,0.1747
0.24262027,0.2211,0.2384
0.22385114,0.2337,0.2216
0.27217653,0.2452,0.2639
0.2936654,0.2603,0.2838
0.27040425,0.2455,0.2615
0.31615657,0.2584,0.3039
0.22941458,0.2366,0.2256
0.23559858,0.1931,0.2304
0.22415522,0.2221,0.2198
0.18298864,0.1964,0.1833
0.24262027,0.2359,0.2385
0.22449762,0.2289,0.2184
0.1965111,0.2048,0.1955
0.18298864,0.1951,0.1823
0.19124293,0.1995,0.1917
0.2278361,0.2334,0.2222
0.23559858,0.2247,0.23
0.28941151,0.2517,0.2818
0.19124293,0.2153,0.1919
0.2043163,0.2011,0.2011
0.31455126,0.2799,0.3012
0.20859052,0.216,0.2066
0.20984788,0.1978,0.2072
0.3587849,0.2656,0.3412
0.33229408,0.2784,0.3227
0.31584284,0.2605,0.3062
0.3032885,0.2779,0.2913
0.2514075,0.2327,0.2436
0.15716115,0.1937,0.1625
0.3906739,0.2864,0.3975
0.2514075,0.2196,0.2457
0.21539369,0.195,0.2105
