ture,toa,pred,aod,class,inf
0.2319425,0.21048,0.25035834,-0.060659427,9.0,0.2319425
0.2677475,0.24324,0.2966796,-0.058414392,12.0,0.2677475
0.18082,0.16668,0.19901976,-0.04627498,12.0,0.18082
0.1851375,0.17012,0.2030045,-0.054161247,12.0,0.1851375
0.289225,0.26048,0.317417,-0.006828293,9.0,0.289225
0.15123,0.14032,0.16585855,0.06824072,12.0,0.15123
0.2379925,0.21666,0.26099795,-0.060659427,10.0,0.2379925
0.1875025,0.17522,0.20994815,-0.051679563,12.0,0.1875025
0.2539425,0.23134,0.28311545,-0.058970276,12.0,0.2539425
0.3273125,0.29442,0.359039,-0.006828293,9.0,0.3273125
0.11295,0.10652,0.123907454,-0.014007626,10.0,0.11295
0.29522,0.26698,0.3232527,-0.006828293,10.0,0.29522
0.2547675,0.23114,0.27743822,-0.013215243,12.0,0.2547675
0.2417325,0.21962,0.26240876,0.026623467,10.0,0.2417325
0.2728075,0.2456,0.300642,-0.014361219,9.0,0.2728075
0.2219325,0.20218,0.24380542,-0.0508149,12.0,0.2219325
0.2053225,0.18966,0.22775574,0.005890678,12.0,0.2053225
0.2701675,0.24404,0.2981912,-0.014924538,12.0,0.2701675
0.153155,0.1435,0.17067632,-0.007670898,12.0,0.153155
0.2381575,0.21748,0.26241735,-0.020290203,12.0,0.2381575
0.237415,0.21628,0.26241735,-0.02590609,12.0,0.237415
0.1711125,0.15888,0.19103183,-0.038732886,10.0,0.1711125
0.2789125,0.25232,0.30465782,0.06214901,12.0,0.2789125
0.263155,0.2405,0.29592046,0.110189244,12.0,0.263155
0.2563625,0.23334,0.2808911,-0.02242224,12.0,0.2563625
0.20282,0.1859,0.22297099,-0.038922433,12.0,0.20282
0.3214825,0.2899,0.35439116,-0.016402513,10.0,0.3214825
0.2264425,0.2064,0.24741602,-0.025507567,12.0,0.2264425
0.1504875,0.13902,0.16549091,0.042330336,12.0,0.1504875
0.2945325,0.26502,0.3218885,-0.024064897,9.0,0.2945325
0.1422375,0.13296,0.1573396,-0.013889842,10.0,0.1422375
0.355335,0.32,0.3916073,0.10238241,10.0,0.355335
0.2795725,0.2543,0.3057494,0.040873416,12.0,0.2795725
0.2510825,0.22846,0.27286413,-0.04677033,12.0,0.2510825
0.4240025,0.37958,0.45922604,0.03513842,12.0,0.4240025
0.383495,0.34702,0.42039812,-0.058414392,12.0,0.383495
0.2905725,0.2625,0.3218885,-0.016954446,12.0,0.2905725
